hi,en
"Salman भाई जहाँ हमारे दिल में बसा है
","Salman brother , you are in our hearts .
"
"P म जी रोज ये खरी मिलती हो
","p m ji everyday i find you standing here
"
"हा भाई सलाम
","yes bhai salam
"
"मैने किया कसूर किया है salman जी जो मुझ से बात नहीं करते reply नही करते
","what mistake have i done salman g that you dont talk to me and dont reply
"
"अभी cell से papers वापिस ढूंढ पाना मुश्किल है , papers में तुझे रात को भेजता हूँ
","Now it is difficult to get back the papers from the cell , I will send it to you in the night
"
"भइया air
","Brother air
"
"आप salaman acters ही हो या कोई और जो salaman khan के नाम से account बनाए हो और उसका profile photo लगे हो
","are you salmaan acters or some other person who has made an account with salman khan's name and are using his profile photo
"
"और बहुत stores पे मिल जाएगा , तो be honest .
","To be honest you can get it many other stores .
"
"How's the weather अभी ?
","How's the weather now ?
"
"sir आ जाओ सभी लोग आपके fans आपकी wait कर रहे please आ जाईये जी plus ... sir एक message बड़ा सा reply कर plus time निकालकर जी
","sir come all your fans are waiting for you plz come plz ... sir give one big msg reply after taking out time
"
"तो ऐसे चीर नहीं करती तो शायद नहीं करते .
","We probably wouldn't have done it , if you wouldn't have cheered like that .
"
"But एक ही meal बाहर कर पाए .
","but we were only able to eat one meal .
"
"जैसी आपकी मर्ज़ी
","as you wish
"
"जबतक public नहीं सुधरेगा तबतक कुछ नहीं हो सकता .
","as long as public doesnt get improved , nothing can be done
"
"भाई pulses आओ ना bajrangi भाईजान bajrangi भाईजान bajrangi भाईजान bajrangi भाईजान bajrangi भाईजान bajrangi भाईजान bajrangi जय bajrang बली तोड़ दी दुश्मन की नली
","brother plzz come ajrangi bhaijaan bajrangi bhaijaan bajrangi bhaijaan bajrangi bhaijaan bajrangi bhaijaan bajrangi bhaijaan bajrangi Jai bajrang bali break enemy's pipe
"
"आज की party Salman की तरफ से
","today's party is by salman
"
"I wish अल्लाह आपको हमेशा खुश रखे सलामत रखे ... love you
","I wish God always keeps you happy and safe . Love you .
"
"salman भाई जिंदाबाद ... love you भाई ...
","Salman brother , long live ... Love you brother ...
"
"Salman भाई सिर्फ शोहरत कमाने से कुछ होगा . थोड़ा बहुत खुदा को भी याद किया करो.माहे रमजान बड़े ही pak और तौबा करने वाला mahina.plz इबादत भाईजान
","salman bhai only earning fame does not matter . remember khuda sometimes . mahe ramzan is a very holy month of pak and tauba . please pray bhaijaan
"
"Salman भाई जान मैं आपका wait कर रही हूँ reply
","Salman brother i am waiting for you pls reply
"
"Namashkar एकी
","Hello Akki
"
"Last month तक एकदम timeless चल रहा तेगा
","Till last month , timepass was going on
"
"क्या चूतिये लोग हैं जो इस eid मुबारक बोल रहे हैं इस कमीने को क्या मालूम कि रमजान किया है और eid क्यों मनाते हैं ... इसे तो सिर्फ पैसों से मतलब है
","What asshole people , who are wishing this asshole happy eid . What would this asshole know about ramzan and the reason to celebrate eid ... he just cares about the money .
"
"तुम मुसलमान नहीं है
","you are not musalman
"
"sir आप रोज़ा रखते हो
","sir do you fast
"
"Help में भाई pulses हेल्प.में
","help me broter please help me
"
"salman मुझे आपकी एक बात सबसे अच्छी लगी
","salman I found one thing about you really good
"
"asalam o alekum salman भाई कैसे हैं आप आप बहुत अछे हैं
","Hello , salman brother . How are you ? I am good .
"
"salman भाई मुझे एक गाड़ी gift करदे यार ?
","salman brother gift me a car ?
"
"शादी कब कर रहे हो ये news चाहिए अब तो
","when are you getting married want this news now
"
"It's 4:02 sir
","It's 4:02 sir
"
"Sallu भाई आज आपका दिल garden garden क्यों हो रहा है ... ? ? ? कोई तो लोचा है ...
","Sallu brother why is your heart going garden garden roday ... ? ? ? there is some problem ...
"
"Apkeliya मसीग salman
","Message for you , salman .
"
"Salman जी कभी रोज़ा रखा है ?
","Salman g are habe you kept a fast ?
"
"उसका trailer देख तूने
","Have you watched its trailer
"
"Akib Jawad TU SULTAN को FLOP कराएगा तो अभी जा चूतिया जा तू यहाँ से नहीं तो ठोक दूंगा
","Akib Jawad you will make sultan flop you idiot just go from here otherwise i will bang you .
"
"salman तुझे तो आल्हा का बरकत है .. जो टाइम खराब बोले उसके घरमें जुर्जाते है ( thats means हराम खोर का खानदान ) ok
","salman you are blessed by god .. the one who calls you bad his house has jurjate ( that means family of haram khor ) ok
"
"अभी नहीं भाई
","Not now Bhai
"
"itd 4:03
","it's 4:03
"
"हाँ यार
","Yes , dude
"
"mummy Monday morning को जा रही हैं
","Mom is going on Monday morning
"
"I think आपने उसके बारे में बताया था
","I thinl you have told about it
"
"भाई जान हमने सुना है जो आपके क्रेब होते हैं आप उनकी हर vis पूरी करते plus भाई एक बार मुझसे बात कर लीजिए जी . e . भाई love you always
","Brother , we have heard , you complete the wishes of people who are close to you . Please brother , talk to me once . Brother , love you , always .
"
"साला हरामी मुसलमानो का दुश्मन बदनाम किया है मुसलमान को कलंक है कब्रस्तान में तेरा पैसा काम नहीं आएगा बल्कि #aamaal और सबसे पहले #imaan #pakka है या नहीं
","Asshole , he is an enemy of Muslims . He has defamed muslims . Your money won't be useful to you in your grave .
"
"salman अगर टन मेरे सामने आ गया तो माँ तेरी film बना दूंगा भेंचोड़ अपने आप को ट्यून समझौता किया है
","salman if you come in front of me i will make a film of yours bhenchod what do you think of yourself
"
"salman भाई साब आपको मिलना चाहते हैं but memo आप मिलो या ना मिलो बस दुआ डायना और आपकी jyis memo bing human trust निकाल ना ही help मी तकी और बच्चों को help कर सकूं मैं बस दुआ मिला
","salman brother everyone wants to meet you but even if you dont meet me keep me in your prayers help me so that i can help other people by joining bing human trust
"
"I trust you so very nice improvement कभी हमने अपने pm से नहीं बोला था पहली बार हमारी बात जान पा रही है मुझे असह्य pm hindustan की ज़मीन पे चाहिए था
","I trust you so very nice improvement i have never said this to our pm but first time i'm saying because i wanted correct pm on hindustan's land
"
"और वो जो english language certificate दिया था तुझे भी पुराना दिया था क्या ?
","And was the English Certificate given to you old too ?
"
"3.30 का बोला था यार pelwan अपने
","you had asked for 3:30 , Mr wrestler
"
"ऐसे अलग colleges का पता नहीं यार
","Do not know other colleges like this
"
"but अच्छा हुआ तूने comment कर दिया .
","The good thing is that you commented .
"
"कमाल करते हो pandey जी ? ? ?
","you do amazing things pandey jii
"
"its not हिन्दी its urdu and bollywood अगर कामयाब हैं तो Urdu की वजह से
","its not hindi its urdu and if bollywood is successful its only because of urdu
"
"ओसाम mubi super duper hit sir 5000 के काम से जादा कमाएगी यह film sir
","Awesome . Movie will be a hit , sir . It will earn more than 5000
"
"यह उम्मीद नहीं this net खत्म हो गया क्या आपका
","This was not expected did your internet end
"
"मुसलमान बोलते हुए शर्म आ रही है
","I feel ashamed to call myself a muslim .
"
"एक new status पे बात करते हैं ;)
","Let's talk on a new status ;)
"
"plus sallu help him आप सबकी दुआ है लेटे होने pleases इनकी भी
","Plz sallu help him you take everyone's prayers plzz his too
"
"ज कुत्ते तेरी movie कोई नहीं देखेगा हराम खोर
","go dog no one will watch your movie horrible person
"
"Random बातें चलती रहेंगी
","Random things will keep on going
"
"अगर कर सकते हो तो यह कर के दिखाओ
","If you can do it , then do this .
"
"भाई salman भाई
","brother salman bhai
"
"इफ्तार party मेरी तरफ से आजाओ
","come to the iftar party from my side
"
"So I had to give him the blouse again , की भाई और छोटे कर .
","So I had to give him the blouse again , brother make it smaller
"
"आप ने रोजा रखा है ? ?
","are you fasting ? ?
"
"I find it so awesome कि आधे लोग wing वालों के साथ ही रह रहे हैं !
","I find it awesome that half of the people are living with the wing people !
"
"लगे रहो sir .
","keep going sir .
"
"अगर तू इक साल मेहनत करेगा तो और अच्छे results definitely आएंगे
","If you work hard for one year then you will surely get goodresults .
"
"एस i love का ryply तब तक आयेगा जब तक तुम कुछ नहीं कहता
","The reply to the I love you will come when you can't even say anything .
"
"अररे ठीक ही है , अगर किसी को issues हैं तो बोल देंगे .
","Arre , it's fine only , if someone has a issue , they'll speak up .
"
"यार मैंने तेरे through room request के लिए भेजा है parliament को mail
","I have sent a mail through you ffor requestin a room to the Parliament
"
"we know भाईजान क्वो सब fake था
","we know brother that all that was fake
"
"लंबे समय के बाद देश को एक समर्थ and सामर्थ्यवान नेता मिला है जो विदेशों में भी लोकप्रिय है .
","after a long time the country has found an able politician who is also popular in foreign countries
"
"उनको pictures मोती को दिखाउंगा हैं उनकी
","I will show their pictures
"
"मुझे इस बात का फख्र है के आप मुसलमान हैं .
","i am proud of the fact that you are muslim
"
"बस एक moment है
","Just one minute left
"
"ऐसी creepy expressionless घूर रही होती है यह
","She keeps staring creepy expressionless like this
"
"timeless है कर रहा हूँ
","I am doing timepass
"
"कोई नहीं take your time to decide
","No problem take your time to decide
"
"हमें काश तुमसे मुहब्बत न होती :(
","i wish i didn't love you
"
"Salman भाई बस तुम ही तुम हो industry में जो छाए रहते हो और दूसरा कही नहीं
","Salman , brother , it is just you who is ruling the industry , no one else .
"
"ओह मैं नहीं गयी जाना भी मत .. पागल हो जाएगी
","Ohhh
"
"बस चलेगी तो क्या दिक्कत थी ?
","What was the problem if the bus went .
"
"neeraj कुत्ते.क्या मजतों आएगा मजतों आएगा साले कुत्ते
","Neeraj , you dog . What do you mean , it will be fun ? It will be a lot of fun , dog , asshole .
"
"अरे भाई love . फिर जब भी आओ गए अंग . आप को request बायजीता हूँ link मिल गया .
","Bro , love . Whenever you will come , I'll come . I will send request to you . I got the link .
"
"आप शादी कब करोगे यार :(
","when will you get married :(
"
"I ; m surprised मैंने बताया नहीं
","I'm surprised i didn't tell you .
"
"Sir प्लीज़ जल्दी आओ
","sir please come fast
"
"और क्या ..
","what else ..
"
"ओ भिखारी ... क्या बोला था तो मुझे मुसलमान की जरुरत नई नई अबे साले तेरे जैसों की मुसलमानों को ज़रूरत नहीं है
","oo beggar ... what did you tell me you dont need muslims oh hello muslims dont need poeple like you
"
"दीदी को तो बड़े वादे करें हैं , because she had to spend so much for last summer ! !
","I have made huge promises to sisiter , because she had to spend so much for last summer ! !
"
"नमस्कार दीदी
","Greetings didi
"
"Yes सब झूठ है कोई salman khan हमलोगों से बात नहीं करने वाले
","Yes , it's all a lie . No salman khan is going to talk to us .
"
"I think कि यह सब super awesome है xD
","I think this is all super awesome .
"
"भाई . भाई ... nice picture
","BHAI . BHAI ... nice pic
"
"pulses आजाओ यार ... इतना entry रोज़ा रखने में कतम नही होती .. जितनी आपका w8 करने में हो रही है ... pulses come ना ... please ...
","Please come now sir . Keeping rosa doesn't need as much energy as waiting for you . Please come brother , please .
"
"नहीं ना , somehow नहीं थी वहां
","No , somehow it wasn't there
"
"it will be great अगर तो continuously जाएगी
","it will be great if you go continuously
"
"कहा चले गये भाई ..
","Where have you gone , bro ?
"
"भाई 4 बज गए कहाँ हो आप
","Bhai it is 4 where are you
"
"please sir आप से बात कर नई है
","please sir i want to talk to you
"
"#salman khan is rocking star
","salman khan is a rocking star
"
"अगर replay नहीं दिया तो मैं मैग्गी खालूंगा
","if you do not give a replay I will eat maggy
"
"Bhaijaan please tell plus भाई one comment
","brother plz tell plz bhai one comment
"
"कल banglore जाने कि reservations हो गयी क्या
","Is there reservation to go to bangalore tomorrow
"
"बाई जी कब ओ जी online
","brother g when wwill you come online
"
"Live long ! Ding dong
","Live long ! Ding Dong
"
"handsome sallu <3
","Handsome Sallu <3
"
"salman भाई asslam alykum
","salman bhai asslam alykum
"
"गर officially मकान malik को 22 feb को hand over करना है
","The house has to be handed over to the landowner officially on 22 feb
"
"अल्लाह आप को हर तरफ से कामयाबी दे
","may Allah give you success in all directions
"
"यह तो जनाब कहते हैं की बिना मुसलमानों की film hit करवाकर देखे गए
","this man says that he will make his film hit without muslims
"
"I wish की कोई नई movies आयी होती
","I wish any new movies would have come
"
"plus pakistan सी और कैसे बेहजों
","Please , how can I see you from Pakistan ?
"
"sallu भाई love you
","sallu bhai i love you
"
"अरे सल्लू भाई आपकी गाड़ी slow है क्या ? ?
","Sallu bro , is your watch slow ?
"
"और जो छुप छुप के बोले चला जाए वो ही असली हिजड़े की औलाद होता है आशु कट
","the person who speaks silently he is real son of hijde ashu kutt
"
"love you salu
","love uuu saluuu
"
"Asak ... आप अपनी माँ से और अपने भाइयों से बहोत प्यार करते हैं बहोत अच्छा लगता है
","asak . you love your mother and brothers a lot it feels very good .
"
"मैं भी cousin के घर ही जा रही हूँ
","I am also going to the cousin's house .
"
"दीदी
","Elder sister
"
"तो before कर लेते हैं if you want
","So let's do it before if you want .
"
"रात में late सोई थी उई अब्बा हैं रात late आए
","i sleep late at night abba came late
"
"हाँ वही तो ..
","Yes that ..
"
"मेरे time पे late हुआ था वह exam .
","In my time the exam got delayed .
"
"Salman sir . आपके life के 2 mint मेरे life अनेक mint में खुशी ला सकते है please sir . मिल लीजिये
","salman sir . two minutes of your life will fill my life with happiness . please meet me .
"
"मेरा एक साल drop होने useful होगा ..
","My one year drop will be useful .
"
"कैसे हो आप papa sorry हम सोगाये थे अभी उठी है थोड़ी देर करदी न हम ने but कोई बात नहीं अभी बात करते हम दोनों हुआ .
","how are you dad sorry we were sleeping just woke up now sorry we are a little late but it sokay ets talk now .
"
"भाई पता नहीं आपकू ये message मिले या न मिले पर कुछ दिनों से आपका दिमाग खराब होगया है लगता आप अब दो नाव में सवार होने की कोशिश कररहे हैं बेहतर यही होगा कि shahrukh , aamir के जैसे एक ईमान पे रहो अल्लाह hafiz
","Bhai idk if youll get this message or not but since a few days you have been getting your brain upset to be between the two boats its better if you also choose one side and be like shahrukh and aamir and be with alah hafiz
"
"bollywod की शान अपना भाईजान
","the pride of bollywood our own brother
"
"घर नहीं दे रहा sector के अन्दर
","They are not giving a house inside the sector
"
"salman ने ये twitter के लिए कहा है quick salman का यह post twitter से ही लिया गया है ... तो हमलोग यहाँ क्या कर रहे
","salman said this for twitter because salman's this post has been taken from twitter ... then what are we doing here
"
"ram ram भाई salman
","ram ram bhai salman
"
"help desk बंद हो गई थी सो कल ठीक करवाऊंगा
","The help center was damaged and I will fix it tomorrow .
"
"नया Girls hostel construct हो रहा है
","New Girls Hostel is being constructed
"
"i am waiting
","i'm waiting
"
"तो मैं baseline assumption पे चल रही थी कि सब chat पड़ रहें हैं
","So I was under the assumption that everyone is reading the chat
"
"he has said की if i do well then he'll take me for my thesis also .
","he has said that if i do well then he'll take me for my thesis also .
"
"so i thought maybe तो yard कर रही हूँ
","So I thought maybe you're remembering me
"
"हम उनके auditor है यार
","We are their auditor friend
"
"आप सबकी मदद करते हुए मेरे friend की help कर दीजे plus
","you help everyone please help my friend pliz
"
"Sir जी कभी रोज़ नमाज़ की बात भी share कर लिया करो
","Sir Ji sometime share something about fasting or namaz
"
"ok
","okkk
"
"बिल्कुल
","Sure
"
"हाथ में हाथ रखे बैठे मिलो गए
","will find you holding hand in hand
"
"देश की बदकिस्मती .. चाय वाले प . में ... और पढ़ा लिखा प . में मौन
","country is unfortunate . tea vendor is p . m . and educated p . m is silent
"
"अच्छा
","acha
"
"i know नई आओगे सबको उल्लू बना दी आप आज अच्छा खासा
","I know , you won't come . You fooled us all majorly today .
"
"it's highly unlikely की permission मिली
","it's highly unlikely ke permission mile
"
"Love love love
","love love love
"
"Salman भाई जी को नमस्ते Salaam.ye Eid आपकी superhit हो.जय bajrangbali .
","greetings to salman bhai ji . may you have superhit this eid . jai bajrangbali .
"
"देख ले फिर कल discuss करेंगे
","Will see and then discuss it tomorrow
"
"मैं आप की movie का भूत time से wait कर रही c
","i have been waiting for your movie for a long time
"
"घर आये जल्दी but वही घर पे हूँ
","Came home fast but in the whi house
"
"यह भोसड़ीवाले भागने वाले नहीं bc mc हरामी साले सुवर की औलाद
","this bhosdiwale aren't runners bc mc harami sale pigs child
"
"क्या आप bengali language बोल सकते हो ?
","Can you speak Bengali ?
"
"? ? ?
","? ? ?
"
"Interviews कब होंगे for you ?
","When will your interviews take place ?
"
"अगर नहीं पढ़ेगा तो it'll be very useless .
","If you dont study it will be useless .
"
"आप कहाँ हैं हम आ गया
","where are you we have come
"
"निराश कर दिया
","You made me sad .
"
"Salman कब आते हैं कब जाते हैं किसी को पता नहीं चलता
","When does salman come and when does he go ? Nobody knows .
"
".. hm
",".. hmmm
"
"भाई आप tension मतलों हमलोग आप पर बहुत trust करते हैं यह films सब की 300 cars कमाएगी ...
","Don't worry , brother . We all trust you . This film will earn 300 crore .
"
"modi जी आप की सोच बहुत सही लगती है progress न होना ही सबकी वजह है इस लिए सबसे जरूरी है कि देश का विकास हो
","modi ji i find your thinking to be very good and progress is the main reason and its most important that country is developed
"
"KARTIKEY KUMAR modi ही देश को आगå बढ़ा सकते हैं
","Kartikey Kumar modi ji can move the country forward
"
"मैं basically code लिखूंगी जिससे यह पूरा sentence ठीक standard language में आ जाए
","I will basically write code so that this whole sentence becomes of correct standard language
"
"salman भाईजान ... आप कोई new movie में shoot में में
","salman brother . i am there in your new movie shoot
"
"Speech की class happens only once a week .
","class for speech happens only once a week .
"
"हरामी सलाह salman ...
","idiot salman
"
"i'm happy की holidays हैं !
","I am happy that there are holidays
"
"Jumma मुबारक भाईजान ... कभी हम भी घर eid पे बुलाओ ... just joking ... God allows bless you , अल्लाह की रहमत रे , गनेह जी का हाथ सदा आपके सर पे रहे , वहेगुरुजी के शत्रचय में आगे बढ़ते जाओ , all gods wise up allows ...
","hello congratulations bhaijaan .. call us to your home on eid sometime .. just joking .. may God always bless you , blessings of allah , may Ganeshji's hand be on your head , under the wings of Vaheguruji may you progress , all Gods with you always
"
"भाई i am also big fan of you .. i am from kashmirr .. आपका बजरंगी भाईजान में कैसे experience रहा .. वो भी kashmir में shooting कर के and please reply और कैसे लगा हमारा kashmir
","brother i m aslo big fan of you .. i am frm kasmirr .. how was your experience in bajrangi bhaijaan .. and that after shooting in kashmire nd pls replyy and how did you find our kashmir
"
"3.30 बजे का और अब 5.30 बजने वाली है अभी तक आप नहीं आए कितने wait करें salman . i really love you salman
","said 3.30 and now its about to be 5.30 have not come till now how much should we wait till salman . i really love u salman
"
"he has said की if i do well then he'll take me for my thesis also .
","he has said that if i do well then he'll take me for my thesis also .
"
"आपका कोई व योजना-प्लान सही तरह से उपयोग नहीं हो पाया है ...
","none of your yojna-plans have been implemented correctly
"
"किधर हो भाई
","where are you Bhai ?
"
"Hello salman भाईजान में आप का भूत बड़ा fan हो मैंने लगभग सारी pictures देखी है
","hello salman brother i am a big fan of you i have watched almost all of your pictures
"
"वही जान एक बार बतियाँ ए कोरो
","Brother , please talk to us once .
"
"मैं सूची बोली सब hall में भाई भाई वाह भाई ही बोलते हैं haste हैं जोश में आते हैं भूत मजा आता है
","i am saying the truth everyone in hall went oh brother wow brother and everyone was very excited
"
"हां तभी लोगों को उसके students life group पर होने से दिक्कत है
","Yes , that is why the people have problems being on his student life group
"
"Great modi जी , दूजा कोई नहीं आप जैसे
","great modi ji , no one else is like you
"
"ok
","okkk
"
"I have a question - कि campus placements में हो जाए तो accept करना पड़ता है , is it ?
","I have a question - if we get campus placements then we have to accept them , is it ?
"
"भाई आप से बात कब होगी
","Bhai when will I talk to you
"
"मैंने कई बार सुना कि भारत एक दिन बिस्वा गुरु बनेगा . लेकिन यकीन नहीं होता था . पर आप की लगन और कार्य शैली से अब पूरा यकीन हो गया , बहुत जल्दी भारत महा गुरु बन जाएगा . bharat माँ की जय .
","i have heard lots of times that bharat will one day become the world's guru . but i didnt believe it . but after seeing your hardwork and dedication , i believe that very soon bharat will become great . bharat maa salute .
"
"Tweet पे ही बता दिये
","He told us on tweet only .
"
"vo वाले रुला रहे हैं .
","the Vodafone people are making me cry .
"
"हैलो .. बि कैसे हो ... ! ! :)
","Hello bro , how are you ?
"
"4 pm हो गए भाई
","it's 4pm already Bhai
"
"मुबारक ईद मुबारक ? ?
","mobarak ied mobarak ? ?
"
"आज technology इतनी advanced है कि you can do anything from anywhere .
","Today the technology is so advanced that you can can do anything from anywhere .
"
"ok
","okkk
"
"में Facebook पर ... Twitter पे नहीं ... आओ ना ..
","I am on Facebook , not on twitter . Please come .
"
"हाँ हम सब तुम्हारे wing में पड़ने वाले हैं !
","Yes we all are going to study in your wing !
"
"अरे आऊंगा
","Hey will come
"
"Salman Khan भाई can't wit ... wish आज है friday हो ... Bajrangi Bhaijaan .. in advance , eid मुबारक
","Salman khan , brother , can't wait ... wish today was friday .. bajrangi bhaijaan .. in advance , happy eid .
"
"सम 2u भाई
","same to you bhai
"
"Love you salman भाई.आपकी शादी हो जाए jaldi.aur भगवान आपको sweet सा baby gift करे .
","Loveee youuu salman brother . may you get married fast . and the lord gifts you a sweet baby
"
"कोई दूसरा नाम नहीं मिला क्या , इस से पहले भी Hero नामी कई filmed पिट चुकी है ..
","Didn't you get any other name ? Before this also , such films have flopped like this .
"
"Airlift चालू हो रही है
","The airlift is getting started
"
"तुम कब जवाब दोगे मुझे
","when will you answer me
"
"Joy हिंद , वरूत माता की joy
","Joy hind , Varot mata ki joy
"
"करके देख and बता क्या होता है .
","Do it and tell what happens .
"
"मेने सुना आप kiynup ओहे yes no please अनुसार
","i heard that your ynup happened yes no please answer
"
"butiful song ever i fell in live waive dis song
","butiful song evr i fel in luv wiv dis song
"
"क्या बात करूँ ? ? Bangladesh में जो हिन्दू की सतह जो होरहा हैं ... बात कर के क्या होगा ? ?
","what should I talk ? ? what is happening with Hindu in Bangladesh ... what will happen by talking ? ?
"
"good morning salaman भाई
","Good morning , salman brother .
"
"2nd picture में ही नहीं आता
","Second photo not only
"
"अगर major लोग जो represent कर रहे हैं एस coordinators divided हैं
","If the major people representing this batch are divided
"
"tv देख रही हूँ
","I am watching TV
"
"नहीं मुझे proxy लगानी है किसीकी .
","No , I have to give proxy for someone .
"
"Salman जी अगर ये message देख रहे हो reply करो plus
","salman ji if you are seeing this message please reply
"
"4:5 होगी
","4:05 already
"
"अगर आप मेरे comments का reply करेंगे तो मैं इसी से समझ जाउगा के मेरे comments के reply में अपने पूरे Pakistan को अपना प्यार सलाम और दुआ दीदी
","if you reply to my comment then i will understand you replied to the entire pakistan and gave your love n respect to pakistan
"
"क्या बात है भाई
","wow whats up bhai
"
"wow omg आज क्यों नहीं ... love u salman
","wowww omg why not today .. love you salman
"
"जय हो bharat की
","jai ho bharat ki
"
"आप salman ईच है
","you are salman
"
"तेरी submissions का result आया ?
","did you get the results for your submissions .
"
"भाई अपनी हर एक film में atif का 1 तो गाना ज़रूर डालना
","brother put 1 song from atif in every movie
"
"जय हिंद मणियों pradhan मंत्रि जी में सेना भर्ती नहीं हुए लेकिन मैं देश की सेना को सलाम करता हुंजाई हिंद जय माता की
","jai hind respected prime minister ji i did not get admitted to army but i salute the country's army . jai hind jai mata ki
"
"sir देश वासियों के लिए कुछ करने का इरादा है या फिर इस air india में ही घूमते रहोगे
","sir do you plan on doing something for the people of the country or will you only roam on air india
"
"रब को याद करूँ एक फरियाद करूँ salman khan sir से बात करदे या रब्बा सलाम khan sir का दीदार करा दे या रब्बा . भाई जान pls.wheting
","I pray to god only one thing that please get me to talk to salman khan sir hey god let me meet salam khan sir . brother life pls . wheting .
"
"Maybe this time they realize ज्यादा ही लोग हो गए !
","Maybe this time they realosed they are too many people !
"
"मौका मिले तो MIT घुमा देना , ज्यादा दूर नहीं है
","If you get chance , it is not far away
"
"भाईजान muslim वाली बात such है या फेक है please reply सल्लू भाई
","brother the thing with muslim is true or fake please reply sallu brother
"
"तो दारू ला सकता है many many .
","You can bring alcohol many many .
"
"I'm so excited salman भाई
","I'm so excited salman bhai
"
"इतना wait तो कभी GF का भी नहीं किया
","i have not waited so much even for my GF
"
"भाई कहाँ हो आप हम मर जायेगी
","brother where are you we will diw
"
"आदाब आदाब अर्ज़ है भाई .
","salute to you brother
"
"pakistan की fans किया करें ज़रा ये भी बताये भाई ?
","what should fans from pakistan do please tell this also brother
"
"Mandir गया था मैं .. Ok
","I went to the temple
"
"Pakistan में यह move नेह चील सेकते chair पर दे हम cinema वालो को लहर में तो कभी नह
","This movie won't work in Pakistan.We will destroy the chairs and the cinema people .
"
"sallu भाई ... ed की party अकेली ... है हमको भूल गए
","sallu brother . ed's party alone . you forgot us
"
"dont think उतना finance करेंगे college वाले : - ?
","Don't think that the college will finance that much .
"
"नहीं दीदी वो लोग नहीं आये
","No sister , those guys didn't come .
"
"और class में बैठा हूँ
","And sitting in the class
"
"ram ram bhai
","Greetings brother
"
